price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna,price(NGN),price(millions_NGN),log_price_millions_NGN
"240,000,000",4-Bedroom Semi-Detached Duplex with BQ,Chevron,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-9/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,240.0,5.480638923341991
"400,000,000",5-Bedroom Fully Detached Duplex with BQ,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-with-bq-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000000.0,400.0,5.991464547107982
"410,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-22/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000000.0,410.0,6.016157159698354
"750,000,000",5-Bedroom Fully Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/5-bedroom-fully-detached-duplex-21/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000.0,750.0,6.620073206530356
"380,000,000",5-Bedroom Luxury Duplex,Chevron,Sale,sale,Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-luxury-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000000.0,380.0,5.940171252720432
"350,000,000",5-Bedroom Detached Duplex,Chevron,Sale,sale,Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-detached-duplex-12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000000.0,350.0,5.857933154483459
"750,000,000",6-Bedroom Detached Duplex,Chevron,Sale,sale,Detached,6.0,6.0,admin-cw,3 weeks ago,https://cwlagos.com/property/6-bedroom-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000.0,750.0,6.620073206530356
"NGN GNGN 10,400,000",Modern 4 Bedroom Detached Duplex,Chevron,Rent,rent,,4.0,4.0,Peter Ogunremi,9 months ago,https://cwlagos.com/property/modern-4-bedroom-detached-duplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400000.0,10.4,2.341805806147327
"600,000,000",5-Bedroom Semi-Detached Duplex,Chevron,Sale,sale,Semi Detached,5.0,5.0,admin-cw,3 weeks ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000000.0,600.0,6.396929655216146
"460,000,000",5-Bedroom Smart Home,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/5-bedroom-smart-home/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000000.0,460.0,6.131226489483141
