listing_url,title,location,property_type,beds,baths,status,post-date-absolute,price(millions_NGN),log_price_millions_NGN,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna
https://cwlagos.com/property/4-bedroom-semi-detached-duplex-7/,4-Bedroom Semi-Detached Duplex,Ikate,Semi Detached,4.0,4.0,Sale,2025-09-19,700.0,6.551080335043404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-3-bedroom-apartments/,2 & 3 Bedroom Apartments,Ikate,Apartment,0.0,0.0,Sale,2025-09-19,240.0,5.480638923341991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-bedroom-apartment-26/,2-Bedroom Apartment,Ikate,Apartment,2.0,2.0,Sale,2025-09-19,170.0,5.135798437050262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/23-bedroom-apartments-with-bq/,2&3 Bedroom apartments with bq,Ikate,Apartment,3.0,3.0,Sale,2025-08-20,180.0,5.19295685089021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/land-measuring-1000-sqm/,Land Measuring 1000 sqm,Ikate,land,0.0,0.0,Sale,2025-05-22,950.0,6.856461984594587,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
https://cwlagos.com/property/newly-built-2-bedroom-apartment-with-swimming-pool-2/,Newly Built 2 Bedroom Apartment with Swimming Pool,Ikate,Apartment,2.0,2.0,Sale,2025-01-22,200.0,5.298317366548036,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0
https://cwlagos.com/property/apartment-units/,Apartment Units,Ikate,Apartment,0.0,0.0,Sale,2025-08-20,300.0,5.703782474656201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-semi-detached-duplex-3/,5-Bedroom Semi-Detached Duplex,Ikate,Semi Detached,5.0,5.0,Sale,2025-10-19,1200.0,7.090076835776092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/brand-new-3-bedroom-apartment-with-bq/,Brand New 3 Bedroom Apartment with BQ,Ikate,Apartment,3.0,3.0,Sale,2025-01-22,155.0,5.043425116919247,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/brand-new-4-bedroom-semi-detached-triplex-with-bq/,Brand New 4 Bedroom Semi-Detached Triplex with BQ,Ikate,Semi Detached,4.0,4.0,Sale,2025-01-22,240.0,5.480638923341991,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-bedroom-apartment-17/,2-Bedroom Apartment,Ikate,Apartment,2.0,2.0,Sale,2025-08-20,160.0,5.075173815233827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-semi-detached-duplex-4/,5-Bedroom Semi-Detached Duplex,Ikate,Semi Detached,5.0,5.0,Sale,2025-10-19,1400.0,7.24422751560335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/3-bedroom-penthouse/,3 Bedroom Penthouse,Ikate,Penthouse,3.0,3.0,Sale,2025-04-22,260.0,5.560681631015528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/5-bedroom-semi-detached-duplex-5/,5-Bedroom Semi-Detached Duplex,Ikate,Semi Detached,5.0,5.0,Sale,2025-10-21,1200.0,7.090076835776092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/fully-serviced-2-3-bedroom-apartments-with-swimming-pool/,Fully Serviced 2- & 3-Bedroom Apartments with Swimming Pool,Ikate,Apartment,2.0,2.0,Sale,2025-01-22,140.0,4.941642422609304,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-bedroom-apartment-40/,2-Bedroom Apartment,Ikate,Apartment,2.0,2.0,Rent,2025-11-04,10.0,2.302585092994046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/2-bedroom-apartment/,2-Bedroom Apartment,Ikate,Apartment,2.0,2.0,Sale,2025-04-22,145.0,4.976733742420574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/fully-serviced-3-bedroom-terrace-duplex-with-bq/,Fully Serviced 3-Bedroom Terrace Duplex with BQ,Ikate,Terraced,3.0,3.0,Rent,2025-04-22,15.0,2.70805020110221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-3/,4-Bedroom Semi-Detached Duplex with BQ,Ikate,Semi Detached,4.0,4.0,Sale,2025-04-22,250.0,5.521460917862246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
